"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"CHP","NORW","Norway Bight","48.2",180,1984,0.01,"0",180,1984,0.005278592,"0",180,1,0.005278592,"0",180,1984,0.005278592,"0",187,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2338969.85445006,2273278.29736136,208.802325891273,200.865370949433,0.204160574325503,0.357888061134141
"CHP","OBRI","O'Brien Island","48.1",21400,1976,0.63,"0",21400,1976,0.627565982,"0",21400,1,0.627565982,"0",21400,1976,0.627565982,"0",131,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2617303.7549435,1768319.58309091,253.587310549394,231.066738982208,0.107566244524972,0.11432099735741
"CHP","ORCW","Offshore Rocks off Cape Wallace","48.1",8100,1987,0.24,"0",8100,1987,0.237536657,"0",8100,1,0.237536657,"0",8100,1987,0.237536657,"0",340,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2619041.89847868,1379228.86987705,7.13738673933156,319.61372277614,0.0284704255289112,0.0858383055004665
"CHP","OLIC","Oliphant Channel","48.2",143,1979,0,"0",143,1979,0.004193548,"0",143,1,0.004193548,"0",143,1979,0.004193548,"0",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2320716.28415914,2273248.15033493,180.063532497794,176.278987163387,0.153121357906667,0.210927248026795
"CHP","OLII","Oliphant Islands","48.2",5002,1979,0.15,"0",5002,1979,0.146686217,"0",5002,1,0.146686217,"0",5002,1979,0.146686217,"0",190,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2320216.67214314,2272600.0604752,180.164245376296,177.218584332678,0.145781782379346,0.203830190419588
"CHP","ORNE","Orne Islands","48.1",298,2016,0.01,"0",106,2001,0.003108504,"0",342,21,0.010029326,"0",860,1987,0.025219941,"0",315,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2484844.44902164,1284007.11324468,344.029105896198,330.285229610637,0.307232457167569,0.191836315662376
"CHP","ORRO","Ornen Rocks","48.1",1100,1967,0.03,"0",1100,1967,0.032258065,"0",1100,1,0.032258065,"0",1100,1967,0.032258065,"0",135,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2617117.45407459,1663052.55939276,94.01537139827,100.809130408385,0.200751980401858,0.265428373725587
"CHP","OWEN","Owen Island","48.1",25000,1987,0.73,"0",21551,1980,0.631994135,"0",23276,2,0.682565982,"0",25000,1987,0.73313783,"0",315,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2648157.33100697,1629883.66423725,339.953444268798,339.013161031882,0.898161937318502,0.756838597963958
"CHP","PAGE","Pageant Point","48.2",1219,1978,0.04,"0",1219,1978,0.035747801,"0",1219,1,0.035747801,"0",1219,1978,0.035747801,"0",121,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2320443.83917408,2273592.42239559,162.556692501738,175.875582231532,0.12612193357974,0.218844877308694
"CHP","PALA","Palaver Point","48.1",450,2018,0.01,"0",352,2011,0.010322581,"0",401,2,0.011759531,"0",450,2018,0.013196481,"0",217,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2515624.99587112,1351184.87240881,70.3251424338604,101.74225767303,0.166702866604173,0.131379674973897
"CHP","PANT","Pantomime Point","48.2",5426,1978,0.16,"0",5426,1978,0.159120235,"0",5426,1,0.159120235,"0",5426,1978,0.159120235,"0",121,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2320569.54814695,2273794.97872996,162.091761080012,174.769804181565,0.131452229444974,0.223767641744621
"CHP","PAPT","Patelnia Point","48.1",1343,1996,0.04,"0",1343,1996,0.039384164,"0",1636,11,0.04797654,"0",2252,1979,0.066041056,"0",142,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-2620916.45003751,1607861.9957481,164.955099064103,153.833792435955,0.674264746169647,0.60944602999635
