"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_sum_dist","auto_bearing_n_cells","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"EMP","COUL","Coulman Island","88.1",25428,2012,9.91,"1",11348,2010,4.42,"1",25417,8,9.91,"1",31432,2006,12.25,"1",180,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",328482.694723178,-1791522.43866603,109.778094318193,121.106762665859,0.55897250221682,0.372574056937748
"EMP","CROZ","Cape Crozier","88.1",1189,2012,0.46,"0",0,2001,0,"0",469,11,0.18,"0",1189,2012,0.46,"0",70,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",253475.763263915,-1344054.02798934,6.19570720659257,4.84967107347577,1.68679810731476,1.51193597409426
"EMP","DARN","Cape Darnley","58.4.2",3465,2009,1.35,"1",3465,2009,1.35,"1",4232,2,1.65,"1",5000,1961,1.95,"1",20,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2281404.58911904,843917.18296128,48.1264242595,34.4292707433018,0.875630784535357,0.778685954169559
"EMP","DAWS","Dawson","48.5",2597,2009,1.01,"1",2597,2009,1.01,"1",2597,1,1.01,"1",2597,2009,1.01,"1",291,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-685053.497348492,1363855.81726109,278.073666696047,285.379156022054,1.99250113258954,1.53370339218015
"EMP","DBAY","Davis Bay","88.1",1745,2009,0.68,"0",1745,2009,0.68,"0",1745,1,0.68,"0",1745,2009,0.68,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",831335.682872685,-2109388.86340951,21.206797897741,24.2021904911158,1.5823448255457,1.50869696102953
"EMP","DIBB","Dibble Glacier","58.4.1",12476,2009,4.86,"1",12476,2009,4.86,"1",12476,1,4.86,"1",12476,2009,4.86,"1",357,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1876283.68173777,-1862579.96936526,4.15559668222224,5.34686595644885,1.02132499350975,0.927156774057884
"EMP","DOLL","Dolleman","48.5",1620,2009,0.63,"0",1620,2009,0.63,"0",1620,1,0.63,"0",1620,2009,0.63,"0",80,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1849355.12169483,1049299.49879232,90.7437878845024,87.6664652847713,1.25183405449483,1.07535001980822
"EMP","DRES","Drescher","48.6",2305,2009,0.9,"0",2305,2009,0.9,"0",2305,1,0.9,"0",2305,2009,0.9,"0",349,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-622302.901374981,1773049.02326968,318.844153540549,316.535641406165,1.29798825986015,1.23082780626935
"EMP","FOLD","Fold Island","58.4.2",213,2009,0.08,"0",213,2009,0.08,"0",213,1,0.08,"0",213,2009,0.08,"0",1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2146314.45410553,1273375.13950827,19.313700980574,21.4427679409981,1.56704820752815,1.27627854664527
"EMP","FRAN","Franklin Island","88.1",7073,2012,2.76,"1",1824,2003,0.71,"0",5089,11,1.98,"1",7561,2009,2.95,"1",112,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",302573.375685497,-1477950.89629446,170.831556625784,94.5198283545995,0.0194526520682341,0.010576687028365
