"common_name","site_id","site_name","cammlr_region","penguin_count_recent","year_recent","penguin_count_recent_prop","IBA_recent","penguin_count_min","year_min","penguin_count_min_prop","IBA_min","count_median","year_nb","count_median_prop","IBA_median","penguin_count_max","year_max","penguin_count_max_prop","IBA_max","bearing","Permissions","coords.x1","coords.x2","auto_bearing_n_cells","auto_bearing_sum_dist","auto_bearing_n_cells_kappa","auto_bearing_sum_dist_kappa"
"EMP","KLOA","Kloa Point","58.4.2",3283,2009,1.28,"1",3283,2009,1.28,"1",3283,1,1.28,"1",3283,2009,1.28,"1",20,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2164261.99063295,1390498.57960461,NA,56.3698182747851,NA,0.990441340360658
"EMP","LAZA","Lazarev","48.6",821,2009,0.32,"0",821,2009,0.32,"0",821,1,0.32,"0",821,2009,0.32,"0",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",595800.357009946,2141129.19709819,NA,34.1977214835771,NA,1.47516711494936
"EMP","LEDD","Ledda Bay","88.2",0,2009,0,"0",0,2009,0,"0",0,1,0,"0",0,2009,0,"0",358,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1305474.46252745,-1126219.30192036,NA,353.011583835541,NA,0.511318238745466
"EMP","LUIT","Luitpold","48.5",6498,2009,2.53,"1",6498,2009,2.53,"1",6498,1,2.53,"1",6498,2009,2.53,"1",348,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-767429.921676784,1157178.63639728,NA,318.027202234835,NA,1.03334578073094
"EMP","MERT","Mertz Glacier","58.4.1",4781,2009,1.86,"1",4781,2009,1.86,"1",4781,1,1.86,"1",4781,2009,1.86,"1",10,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1399660.21405038,-2124309.28788027,NA,47.4898481493508,NA,0.043451011052408
"EMP","NOVI","Noville Peninsula","88.3",3568,2009,1.39,"1",3568,2009,1.39,"1",3568,1,1.39,"1",3568,2009,1.39,"1",0.1,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-1975261.58808515,-293442.809915519,NA,7.34793637754038,NA,0.937317017351882
"EMP","PGEO","Point Geologie","58.4.1",2456,2009,0.96,"0",2456,2009,0.96,"0",3020,3,1.18,"1",3119,1984,1.22,"1",347,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1651016.51185746,-1968302.42356468,NA,15.4064686045371,NA,1.17452713548425
"EMP","PSON","Peterson Bank","58.4.1",0,2009,0,"0",0,2009,0,"0",0,1,0,"0",0,2009,0,"0",328,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",2490278.49937028,-917724.788602916,NA,311.371894675959,NA,0.170941263991135
"EMP","RAGN","Ragnhild","48.6",6870,2009,2.68,"1",6870,2009,2.68,"1",6870,1,2.68,"1",6870,2009,2.68,"1",351,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",1006501.95888217,1962651.96672671,NA,346.050243073425,NA,0.973393710405563
"EMP","RIIS","Riiser","48.6",4013,2009,1.56,"1",4013,2009,1.56,"1",4013,1,1.56,"1",4013,2009,1.56,"1",351,"Cleaned data used in Handley & Rouyer et al. 2021, Frontiers in Marine Science, marine IBAs Antarctica. See supplementary material for individual colony references.",-510394.960323988,1890296.00333441,NA,335.879894324071,NA,1.14465722466945
