"colony_name","colony_size","colony_size_min","colony_size_max","latitude","longitude"
"Gourlay Point",3926,3926,6174,-45.5863,-60.7309
"Gosling Islands",9470,9470,9470,-45.9178,-60.6406
"Gourdin Island",24239,16334,24239,-57.3074,-63.1969
"Graptolite Island",16300,16300,30000,-44.4621,-60.7159
"Green Island",0,0,0,-64.1487,-65.3236
"Hannah Point",0,0,2,-60.6134,-62.6545
"Cape Hansen, Coronation Island",5980,5980,13381,-45.584,-60.659
"Haswell Island",4011,4011,4011,93.01,-66.52
"Harald Bay",21033,21033,21033,157.6894,-69.1977
"Henry Islands",58,34,58,120.6206,-66.8781
"Heroina Island",292363,276938,292363,-54.6083,-63.3944
"Cape Hinode",360,360,433,42.6612,-68.1453
"Hokuro Cove",400,277,750,39.629,-69.213
"Holdfast Point (mainland and offshore rocks)",435,435,625,-66.5867,-66.7917
"Holl/O'Connor",30514,16623,30514,110.4315,-66.4118
"Hope Bay",104139,104139,123850,-56.9978,-63.3972
"Humble Island",587,587,2560,-64.0875,-64.7647
"Ifo Island Area",839,839,839,139.728,-66.627
"Inexpressible Island",36117,18313,39468,163.7287,-74.9009
"Ivanhoff Head",6130,6130,6130,109.1276,-66.8803
"Janet Rock",1899,1899,1899,139.1651,-66.5698
"Jingle Island",592,592,592,-65.3253,-65.4303
"Cape Jones",41,20,247,169.2272,-73.2762
"Joubin Islands",1251,363,1251,-64.3992,-64.7744
"Cape Jules",56399,43259,56399,140.9189,-66.7438
"Kidson Island",1334,1000,1334,61.187,-67.2144
"King Point",28,28,28,-55.481,-63.16
"Kirby Head",4325,4325,4325,46.5372,-67.2726
"Kirton/Macklin",12955,12955,12955,63.6378,-67.4907
"Knobble Head, Bransfield Island",100,100,100,-56.5694,-63.1619
"Kuno Point",235,235,235,-67.1603,-66.3978
"Kuzira Point",0,0,7,38.2667,-69.6
"Lagotellerie Island",8314,1911,8314,-67.4017,-67.8869
"Islet next to Laktionov Island",38,38,38,-65.789737,-65.758531
"Lauff Island",0,0,1167,-126.7749,-73.2325
"Islet 1 km west of Lavosier Island",17,17,150,-66.829,-66.122
"Lewis Island",1719,1200,1719,134.3849,-66.1051
"Lions Rump",3751,3661,13580,-58.1229,-62.1331
"Litchfield Island",0,0,650,-64.0919,-64.7708
"Llano Point",3246,2102,15013,-58.446,-62.176
"Long Peninsula Island",3252,3252,6815,78.324,-68.4163
"Lovill Bluff",1540,1540,61533,-127.4361,-73.538
"Low Tongue",4455,4455,4455,61.9906,-67.5456
"Lindsay Islands",80704,80704,80704,-103.1829,-73.6094
"MacKellar Islands",80360,80360,80360,142.65,-66.967
